Seed,Accuracy,F1 Macro,Balanced Acc,energy_proxy_flops
42,0.8125,0.7939393939393938,0.8333333333333333,34570368
10,0.625,0.525,0.5416666666666666,34570368
88,0.625,0.525,0.5416666666666666,34570368
2,0.75,0.7272727272727272,0.7916666666666666,34570368
2025,0.75,0.7,0.7083333333333333,34570368
