Seed,Split,Fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,cohen_kappa,energy_proxy,f1_Classical,precision_Classical,recall_Classical,f1_Mesenchymal,precision_Mesenchymal,recall_Mesenchymal,f1_Neural,precision_Neural,recall_Neural,f1_Proneural,precision_Proneural,recall_Proneural,auc_macro,auc_weighted
42,Test,N/A,0.4375,0.3125,0.2578947368421053,0.3368421052631579,0.3653846153846154,0.3125,0.15294117647058825,-2.7263489,0.0,0.0,0.0,0.631578947368421,0.46153846153846156,1.0,0.0,0.0,0.0,0.4,1.0,0.25,0.29136904761904764,0.27485119047619044
10,Test,N/A,0.375,0.25,0.17647058823529413,0.2647058823529412,0.13636363636363635,0.25,0.06976744186046513,-2.025783,0.0,0.0,0.0,0.7058823529411765,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305059523809524,0.4355654761904762
88,Test,N/A,0.3125,0.20833333333333334,0.15625,0.234375,0.125,0.20833333333333334,-0.011494252873563315,-1.5921263,0.0,0.0,0.0,0.625,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.4563988095238095,0.3828869047619048
2,Test,N/A,0.5625,0.47916666666666663,0.45687645687645684,0.5337995337995338,0.5,0.47916666666666663,0.3707865168539326,-2.536244,0.5454545454545454,0.42857142857142855,0.75,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.32708333333333334,0.32916666666666666
2025,Test,N/A,0.4375,0.3125,0.2589285714285714,0.3526785714285714,0.23333333333333334,0.3125,0.1910112359550562,-2.1161916,0.2857142857142857,0.3333333333333333,0.25,0.75,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434375,0.409375
